ᎠᎢ,walking. (ᎠᎢ) [raven]
ᎦᎢ,walking. (ᎠᎢ) [raven]
ᎠᎢᏐᎢ,walking. (ᎠᎢ) [raven]
ᎠᎥᏍᎦ,placing something solid on the ground. (ᎠᎥᏍᎦ) [raven]
ᏥᎥᏍᎦ,placing something solid on the ground. (ᎠᎥᏍᎦ) [raven]
ᎤᏅᎢ,placing something solid on the ground. (ᎠᎥᏍᎦ) [raven]
ᎠᎥᏍᎪᎢ,placing something solid on the ground. (ᎠᎥᏍᎦ) [raven]
ᎯᎥᎦ,placing something solid on the ground. (ᎠᎥᏍᎦ) [raven]
ᎤᎥᏍᏗ,placing something solid on the ground. (ᎠᎥᏍᎦ) [raven]
ᎠᎥᏏ,handing something solid to him. (ᎠᎥᏏ) [raven]
ᏥᎥᏏ,handing something solid to him. (ᎠᎥᏏ) [raven]
ᎤᏁᎸᎢ,handing something solid to him. (ᎠᎥᏏ) [raven]
ᎠᏁᎰᎢ,handing something solid to him. (ᎠᎥᏏ) [raven]
ᎯᎥᏏ,handing something solid to him. (ᎠᎥᏏ) [raven]
ᎤᏁᏗ,handing something solid to him. (ᎠᎥᏏ) [raven]
ᎠᎦᎵᎭ,It is (the sun) shining. (ᎠᎦᎵᎭ) [raven]
ᎤᎦᎵᏒᎢ,It is (the sun) shining. (ᎠᎦᎵᎭ) [raven]
ᎠᎦᎵᏍᎪᎢ,It is (the sun) shining. (ᎠᎦᎵᎭ) [raven]
ᏩᎦᎵᎯ,It is (the sun) shining. (ᎠᎦᎵᎭ) [raven]
ᎤᎦᎵᎯᏍᏗ,It is (the sun) shining. (ᎠᎦᎵᎭ) [raven]
ᎠᎦᎵᏍᎦ,cutting off something flexible. (ᎠᎦᎵᏍᎦ) [raven]
ᏥᎦᎵᏍᎦ,cutting off something flexible. (ᎠᎦᎵᏍᎦ) [raven]
ᎤᎦᎵᏒᎢ,cutting off something flexible. (ᎠᎦᎵᏍᎦ) [raven]
ᎠᎦᎵᏍᎪᎢ,cutting off something flexible. (ᎠᎦᎵᏍᎦ) [raven]
ᎯᎦᎵᎦ,cutting off something flexible. (ᎠᎦᎵᏍᎦ) [raven]
