ᎠᎢ,walking. (ᎠᎢ)
ᎦᎢ,walking. (ᎠᎢ)
ᎠᎢᏐᎢ,walking. (ᎠᎢ)
ᎠᎥᏍᎦ,placing something solid on the ground. (ᎠᎥᏍᎦ)
ᏥᎥᏍᎦ,placing something solid on the ground. (ᎠᎥᏍᎦ)
ᎤᏅᎢ,placing something solid on the ground. (ᎠᎥᏍᎦ)
ᎠᎥᏍᎪᎢ,placing something solid on the ground. (ᎠᎥᏍᎦ)
ᎯᎥᎦ,placing something solid on the ground. (ᎠᎥᏍᎦ)
ᎤᎥᏍᏗ,placing something solid on the ground. (ᎠᎥᏍᎦ)
ᎠᎥᏏ,handing something solid to him. (ᎠᎥᏏ)
ᏥᎥᏏ,handing something solid to him. (ᎠᎥᏏ)
ᎤᏁᎸᎢ,handing something solid to him. (ᎠᎥᏏ)
ᎠᏁᎰᎢ,handing something solid to him. (ᎠᎥᏏ)
ᎯᎥᏏ,handing something solid to him. (ᎠᎥᏏ)
ᎤᏁᏗ,handing something solid to him. (ᎠᎥᏏ)
ᎠᎦᎵᎭ,It is (the sun) shining. (ᎠᎦᎵᎭ)
ᎤᎦᎵᏒᎢ,It is (the sun) shining. (ᎠᎦᎵᎭ)
ᎠᎦᎵᏍᎪᎢ,It is (the sun) shining. (ᎠᎦᎵᎭ)
ᏩᎦᎵᎯ,It is (the sun) shining. (ᎠᎦᎵᎭ)
ᎤᎦᎵᎯᏍᏗ,It is (the sun) shining. (ᎠᎦᎵᎭ)
ᎠᎦᎵᏍᎦ,cutting off something flexible. (ᎠᎦᎵᏍᎦ)
ᏥᎦᎵᏍᎦ,cutting off something flexible. (ᎠᎦᎵᏍᎦ)
ᎤᎦᎵᏒᎢ,cutting off something flexible. (ᎠᎦᎵᏍᎦ)
ᎠᎦᎵᏍᎪᎢ,cutting off something flexible. (ᎠᎦᎵᏍᎦ)
ᎯᎦᎵᎦ,cutting off something flexible. (ᎠᎦᎵᏍᎦ)
ᎤᎦᎵᎢᏍᏗ,cutting off something flexible. (ᎠᎦᎵᏍᎦ)
ᎠᎦᎾᏬᎯᏍᏗ,Heater. (ᎠᎦᎾᏬᎯᏍᏗ)
ᎠᎦᏁᏍᏗ,Button. (ᎠᎦᏁᏍᏗ)
ᎠᎦᏍᎩ,Rain. (ᎠᎦᏍᎩ)
