ᎠᎢ,walking (ᎠᎢ)
ᎦᎢ,walking (ᎠᎢ)
ᎠᎢᏒᎢ,walking (ᎠᎢ)
ᎠᎢᏐᎢ,walking (ᎠᎢ)
ᎠᎢᏏ,One who is walking (ᎠᎢ) Synthetic
ᎠᎦᎳᏍᎦ,"breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ)"
ᏥᎦᎳᏍᎦ,"breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ)"
ᎤᎦᎳᏒᎢ,"breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ)"
ᎠᎦᎵᏍᎪᎢ,"breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ)"
ᎠᎦᎵᏍᎩ,"One who is breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ) Synthetic"
ᎯᎦᎳ,"breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ)"
ᎠᎦᎳ,"Recently breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ) Synthetic"
ᎤᎦᎳᏍᏗ,"breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ)"
ᎠᎦᎳᏍᏗ,"[For doing unto/For the doing of] breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ) Synthetic"
ᎠᎦᎳᏍᏙᏗ,"Tool for breaking a flexible object., cutting a flexible object (ᎠᎦᎳᏍᎦ) Synthetic"
ᎠᎦᎵᎭ,sun or moon) shining (ᎠᎦᎵᎭ)
ᎤᎦᎵᏒᎢ,sun or moon) shining (ᎠᎦᎵᎭ)
ᎠᎦᎵᏍᎪᎢ,sun or moon) shining (ᎠᎦᎵᎭ)
ᎠᎦᎵᏍᎩ,One who is sun or moon) shining (ᎠᎦᎵᎭ) Synthetic
ᎤᎦᎵᎯᏍᏗ,sun or moon) shining (ᎠᎦᎵᎭ)
ᎠᎦᎵᎯᏍᏗ,[For doing unto/For the doing of] sun or moon) shining (ᎠᎦᎵᎭ) Synthetic
ᎠᎦᎵᎯᏍᏙᏗ,Tool for sun or moon) shining (ᎠᎦᎵᎭ) Synthetic
ᎠᎦᎷᎦ,twister (tornado) (ᎠᎦᎷᎦ)
ᎠᎦᎾᎦᏘ,doctor (ᎠᎦᎾᎦᏘ)
ᎠᏂᎦᎾᎦᏘ,doctor (ᎠᎦᎾᎦᏘ)
