PATTERN1,PATTERN2,PATTERN3
Ꭰ,Ꭶ,Ꭶ͓
ᎠᎦ͓,ᎠᏥ,
ᎠᎩ,ᎠᏆ͓,
ᎠᏂ,ᎠᏂ͓,
ᎠᏓᏓ͓?,,
ᎤᏓᏓ͓?,,
ᎠᏆᏓᏓ͓?,,
ᎡᎩ,,
ᎡᎩᏂ,,
ᎡᏂ,ᎡᏂ͓,
ᎡᏍᏗ,ᎡᏍᏗ͓,
ᎡᏍᏗ,,
ᎡᏗ,ᎡᏗ͓,
ᎡᏣ,ᎡᏣ͓,
ᎡᏥ,ᎡᏥ͓,
ᎡᏥ,,
ᎢᎦᏓᏓ͓?,,
ᎢᎩ,ᎢᎩ͓,
ᎢᎾᏓᏓ͓?,,
ᎢᏂ,ᎢᏂ͓,
ᎢᏍᎩᏯ͓,ᎢᏍᎩ,
ᎢᏓᏓᏓ͓?,,
ᎢᏗ,ᎢᏗ͓,
ᎢᏣᏓᏓ͓?,,
ᎢᏥ,ᎢᏥ͓,
ᎢᏨᏯ͓,ᎢᏨ,
ᎣᎦᏓᏓ͓?,,
ᎣᎩ,ᎣᎩ͓,
ᎣᎩ,,
ᎣᎩᎾᏓᏓ͓?,,
ᎣᎩᏂ,ᎣᎩᏂ͓,
ᎣᎩᏂ,,
ᎣᏍᏓᏓᏓ͓?,,
ᎣᏍᏓᏓᏓ͓?,,
ᎣᏍᏗ,ᎣᏍᏗ͓,
ᎣᏣᏓᏓ͓,,
ᎣᏥ,ᎣᏥ͓,
Ꭴ,ᎤᏩ͓,
ᎤᏂ,ᎤᏂ͓,
ᎥᎩ͓,ᎥᏆ͓,
Ꭶ͓,Ꮵ,
ᎦᎯᏯ͓,ᎦᎯ,
ᎦᏥᏯ͓,ᎦᏥ,
ᎨᎦ͓,ᎨᏥ,
ᎨᎩ,ᎨᎩ͓,
ᎨᎩᏂ,ᎨᎩᏂ͓,
ᎨᏂ,ᎨᏂ͓,
ᎨᏍᏗ,ᎨᏍᏗ͓,
ᎨᏗ,ᎨᏗ͓,
ᎨᏣ,,
ᎨᏥ,ᎨᏥ͓,
ᎩᎾᏓᏓ͓?,,
ᎩᏂ,ᎩᏂ͓,
ᎪᎩ,ᎪᎩ͓,
ᎪᎩᏂ,ᎪᎩᏂ͓,
ᎪᏍᏗ,ᎪᏍᏗ͓,
ᎪᏥ,ᎪᏥ͓,
ᎬᎩ,ᎬᏆ͓,
ᎬᏯ͓,Ꭼ,
ᎭᏓᏓ͓?,,
Ꭿ,Ꭿ͓,
ᎯᏯ͓,Ꭿ,
ᏍᎩ,ᏍᏆ͓,
ᏍᎩᏂ,ᏍᎩᏂ͓,
ᏍᏓᏓᏓ͓?,,
ᏍᏗ,ᏍᏗ͓,
ᏍᏛᏯ͓,ᏍᏛ,
Ꮳ,Ꮳ͓,
ᏣᏓᏓ͓?,,
ᏥᏯ͓,Ꮵ,
